Region,Date,Frequency,Estimated Unemployment Rate (%),Estimated Employed,Estimated Labour Participation Rate (%),Area,Unemployment Rate (3-Month Rolling Avg),Date_ordinal,Predicted Unemployment Rate (%)
Andhra Pradesh,2019-05-31, Monthly,3.65,11999139.0,43.24,Rural,,737210,2.285255337588751
Andhra Pradesh,2019-06-30, Monthly,3.05,11755881.0,42.05,Rural,,737240,3.070771460865217
Andhra Pradesh,2019-07-31, Monthly,3.75,12086707.0,43.5,Rural,3.483333333333333,737271,3.8824714549155033
Andhra Pradesh,2019-08-31, Monthly,3.32,12285693.0,43.97,Rural,3.373333333333333,737302,4.694171448969428
Andhra Pradesh,2019-09-30, Monthly,5.17,12256762.0,44.68,Rural,4.08,737332,5.4796875722422556
Andhra Pradesh,2019-10-31, Monthly,3.52,12017412.0,43.01,Rural,4.003333333333333,737363,6.29138756629618
Andhra Pradesh,2019-11-30, Monthly,4.12,11397681.0,41.0,Rural,4.2700000000000005,737393,7.076903689572646
Andhra Pradesh,2019-12-31, Monthly,4.38,12528395.0,45.14,Rural,4.006666666666667,737424,7.888603683622932
Andhra Pradesh,2020-01-31, Monthly,4.84,12016676.0,43.46,Rural,4.446666666666666,737455,8.700303677673219
Andhra Pradesh,2020-02-29, Monthly,5.91,11723617.0,42.83,Rural,5.043333333333333,737484,9.459635930175864
Andhra Pradesh,2020-03-31, Monthly,4.06,11359660.0,40.66,Rural,4.9366666666666665,737515,10.27133592422615
Andhra Pradesh,2020-04-30, Monthly,16.29,8792827.0,36.03,Rural,8.753333333333332,737545,11.056852047502616
Andhra Pradesh,2020-05-31, Monthly,14.46,9526902.0,38.16,Rural,11.603333333333333,737576,11.868552041552903
Andhra Pradesh,2020-06-30, Monthly,0.85,15572975.0,53.76,Rural,10.533333333333333,737606,12.654068164829368
Andhra Pradesh,2019-05-31,Monthly,6.09,4788661.0,37.45,Urban,7.133333333333333,737210,2.285255337588751
Andhra Pradesh,2019-06-30,Monthly,3.8,4824630.0,36.76,Urban,3.5799999999999996,737240,3.070771460865217
Andhra Pradesh,2019-07-31,Monthly,5.64,4657443.0,36.1,Urban,5.176666666666667,737271,3.8824714549155033
Andhra Pradesh,2019-08-31,Monthly,4.61,4743179.0,36.29,Urban,4.683333333333334,737302,4.694171448969428
Andhra Pradesh,2019-09-30,Monthly,6.01,4733996.0,36.69,Urban,5.419999999999999,737332,5.4796875722422556
Andhra Pradesh,2019-10-31,Monthly,4.7,4774377.0,36.41,Urban,5.1066666666666665,737363,6.29138756629618
Andhra Pradesh,2019-11-30,Monthly,7.54,4668772.0,36.62,Urban,6.083333333333333,737393,7.076903689572646
Andhra Pradesh,2019-12-31,Monthly,7.88,4913963.0,38.61,Urban,6.706666666666666,737424,7.888603683622932
Andhra Pradesh,2020-01-31,Monthly,7.11,4618860.0,35.91,Urban,7.510000000000001,737455,8.700303677673219
Andhra Pradesh,2020-02-29,Monthly,5.66,4822035.0,36.84,Urban,6.883333333333334,737484,9.459635930175864
Andhra Pradesh,2020-03-31,Monthly,9.88,4521537.0,36.08,Urban,7.55,737515,10.27133592422615
Andhra Pradesh,2020-04-30,Monthly,32.3,2544084.0,26.97,Urban,15.946666666666665,737545,11.056852047502616
Andhra Pradesh,2020-05-31,Monthly,24.91,3428356.0,32.69,Urban,22.36333333333333,737576,11.868552041552903
Andhra Pradesh,2020-06-30,Monthly,5.86,4954389.0,37.61,Urban,21.023333333333333,737606,12.654068164829368
